source,title,company,location,salary_min,salary_max,salary_mid,salary_text,skills,specialty,published_at,url
trudvsem,Аналитик внедрения 1С (ERP-системы),"ООО ""КЕРАМА МАРАЦЦИ""",Орловская область,45000.0,45000.0,45000.0,45000 – 45000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/0ea8a5f0-7321-11ea-9180-e37b4be0b9ed/f13d0ec9-16a9-11f0-b3e5-cb26dff57dd7
trudvsem,Инженер по надзору за строительством,"ФИЛИАЛ АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ БЕЛГОРОД"" В Г.ВАЛУЙКИ",Белгородская область,46000.0,56000.0,51000.0,46000 – 56000,"Работа с офисными программами (Word, Excel, Outlook, PowerPoint, AutoCAD, ГРАНД-смета, 1С: Предприятие АСДОБ, АИС Аналитика",Data Analyst / BI,,https://trudvsem.ru/vacancy/card/4b36d460-749f-11ed-b0e8-91f5d381286a/5d422ca8-3d72-11f1-a4ee-1b38588a033b
trudvsem,Ведущий бухгалтер управления отчетности,"ГКУ СО ""ЦЕНТР УЧЕТА""",Самарская область,73563.0,73563.0,73563.0,73563 – 73563,,Data Analyst / BI,,https://trudvsem.ru/vacancy/card/1196313041297/794960f8-aa90-11f0-bdff-efc3bb2eec02
trudvsem,"Аналитик 1 категории по учету и отчетности, и архиву","АДМИНИСТРАЦИЯ МО ""УЛЕЙСКОЕ""",Иркутская область,35000.0,41081.0,38040.5,35000 – 41081,,Data Analyst / BI,,https://trudvsem.ru/vacancy/card/1058506045927/859430fb-14f5-11f0-8bde-d549be31d974
trudvsem,Директор магазина,"ООО ""ЭЛЕМЕНТ-ТРЕЙД""",Республика Башкортостан,50000.0,70000.0,60000.0,50000 – 70000,"График 2/2, работа рядом с домом, официальное оформление, белая зарплата без задержек, подарки от компании, берем без опыта, сан книжка за счет компании, скидки сотрудникам. На новые и действующие магазины требуется Администратор, товаровед. Требования: Знание ПК на уровне уверенного пользователя; Активная жизненная позиция; Опыт работы в торговле от 1 года; Приветствуется опыт работы в аналогичных сетях. Нацеленность на результат. Рассматриваем без опыта, всему научим! Условия: График работы 2/2; работа в крупной стабильной Компании; оформление медицинской книжки за счет компании; ежеквартальные путевки для лучших сотрудников на отдых за счет компании; бесплатное обучение в корпоративном университете Компании ( по итогам обучения Компания выплачивает стипендию); возможность работать в удобном для вас районе города; успешным сотрудникам быстрый карьерный рост; официальное трудоустройство; полный социальный пакет; своевременная заработная плата 2 раза в месяц, премии по итогам месяца. Мы не говорим, что работать у нас легко, но мы сильнейшая команда профессионалов.Работать у нас интересно и перспективно!",SysAdmin,,https://trudvsem.ru/vacancy/card/1036605217252/04ca37f8-dbf4-11f0-a9f1-77001f7c3eff
trudvsem,Продакт-менеджер,"ООО ""ГАРАЖ 8""",Город Санкт-Петербург,150000.0,150000.0,150000.0,150000 – 150000,,Product,,https://trudvsem.ru/vacancy/card/1177847099594/d4b59948-47c0-11f1-a599-b56fc54276c6
trudvsem,Менеджер отдела продаж,ТД ВКУСНЫЕ КОНСЕРВЫ,Город Москва,200000.0,200000.0,200000.0,200000 – 200000,"Требования: Опыт работы в сфере продаж обязателен, в сфере продуктов питания или в оптовых продажах желательно. Навыки ведения переговоров и убеждения клиентов (подготовка к переговорам, умение работать с аргументами и аналитикой). Умение правильно расставлять приоритеты и планировать работу. Высокая коммуникабельность. Готовность к командировкам. Знание 1с, Excel.",ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1027700404797/675a9465-3d55-11f1-8bb0-61771f2dc24f
trudvsem,Главный бухгалтер,Финвал,Город Санкт-Петербург,180000.0,180000.0,180000.0,180000 – 180000,"Требования: Высшее профессиональное образование. Опыт работы на должности главного бухгалтера, заместителя главного бухгалтера не менее 3 лет. Знание законодательных и нормативных актов по бухгалтерскому и налоговому учету. Уверенный пользователь 1С, владение программой MS Office на уровне продвинутого пользователя. Опыт в области налогового планирования и оптимизации налогообложения. Условия работы: Место работы: ст.м. Ладожская, Шоссе Революции 69 График работы: 5/2, с 9:00-18:00 ч. или с 8:00-17:00 ч. (перерыв на обед 1 час). Испытательный срок - 3 месяца. Заработная плата: 180 0000 рублей, выплачивается 2 раза в месяц (без задержек). ДМС после 6 месяцев работы.",ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1027700404797/4eaf1854-3e36-11f1-90be-212443046cf8
trudvsem,Администратор магазина,Ашан,Московская область,90000.0,90000.0,90000.0,90000 – 90000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1027700404797/4060ab35-08a1-11f1-a33f-7783d38bcee9
trudvsem,Специалист сопровождения систем 1С,"ООО ""ДЕЛОТЕХ""",Город Москва,60000.0,100000.0,80000.0,60000 – 100000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1227700010680/157a7d10-6eaa-11f0-9a09-cb26dff57dd7
trudvsem,Менеджер проектов,"ООО ""ИЛОН""",Ярославская область,80000.0,80000.0,80000.0,80000 – 80000,,Project Manager,,https://trudvsem.ru/vacancy/card/5187746002824/ae54a520-319f-11f1-b21a-1b28a4f1f176
trudvsem,руководитель проектов,"ФОНД ""В.Н.У.К.""",Город Москва,40560.0,45000.0,42780.0,40560 – 45000,,Project Manager,,https://trudvsem.ru/vacancy/card/1147799006827/e57f32bd-3800-11f1-889f-09fcf7d79153
trudvsem,Менеджер по цифровизации,"АО ""РУСАЛ САЯНОГОРСК""",Республика Хакасия,43349.0,43349.0,43349.0,43349 – 43349,,IT / Digital (general),,https://trudvsem.ru/vacancy/card/1021900670758/0c323b58-12c2-11f1-8233-7d5e3d87d461
