Title,Company,Salary_Min,Salary_Max,Region,Skills_Req,Link,Salary_Text
Системный аналитик (антифрод),СБЕР,0,0,"Москва,","Мы - команда, создающая комплексную систему противодействия мошенничеству и обеспечивающая online/offline безопасность миллионов клиентов банка 24/7/365, предоставляя инструменты собственной разработки для: Построения графа связей (позволяет проанализировать не только объекты и их свойства, но также их связи с другими объектами различных уровней и характеристик и применяется для получения дополнительных знаний об объекте за счет извлечения знаний о его окружении, выявления наиболее значимой инфо",https://www.rabota.ru/vacancy/54279652/,по договоренности
Системный аналитик,СБЕР,0,350000,"Москва,","Sber Process Mining – система интеллектуального анализа бизнес-процессов от Сбера. Система позволяет на основе данных из информационных систем компаний делать автоматизированную аналитику с применением AI и BI инструментов. Process Mining позволяет обнаружить «узкие места» в бизнес-процессах, выявлять недобросовестные практики и потенциал к повышению эффективности процессов, росту прибыли компании и удовлетворенности клиентов. Обязанности сбор, детализация, уточнение требований формализация функ",https://www.rabota.ru/vacancy/54280617/,до 350 000 руб.
Специалист по контекстной рекламе,"ООО ""МЭЙН ТАРГЕТ ГРУПП""",0,0,"Москва,","Яндекс.Метрика, Яндекс.Директ, интернет-реклама, контекстная реклама, оптимизация рекламных кампаний",https://www.rabota.ru/vacancy/50435029/,по договоренности
Java-разработчик (Middle+),"АО ""НПФ Сбербанка""",0,0,"Москва,","Наша команда разрабатывает операции социально-значимого характера, направленные на развитие сервисов пост-продажных операций в сети ВСП пенсионных продуктов. Кроме того, наша команда занимается разработкой флагманского продукта Программа долгосрочных сбережений. Каждому новому сотруднику предоставляется ментор, который поможет быстро адаптироваться и освоиться в процессах. У каждой компетенции есть лидер, готовый оказать поддержку в сложных ситуациях. Обязанности Поддержка генерации и отбора иде",https://www.rabota.ru/vacancy/54276598/,по договоренности
Embedded-разработчик,"JCat, сервис размещения объявлений",150000,0,"Москва,",Программирование микроконтроллеров,https://www.rabota.ru/vacancy/54269193/,от 150 000 руб.
Python Developer (AI-агенты и LegalTech),СБЕР,0,0,"Москва,","Команда юридических ИИ-систем и автоматизации правового анализа Основной стек: Python 3.10+, FastAPI, LangChain / LangGraph, OpenSearch, Redis, Kafka Обязанности • Разработка и поддержка промышленных пайплайнов вокруг больших языковых моделей (LLM) — интеграция агентов, RAG-модулей, кэширования и асинхронных очередей. • Реализация многоагентных систем на базе LangGraph / LangChain — orchestration, routing, memory-модули, логика принятия решений. • Интеграция LLM API (GigaChat, OpenAI, Gemini, Qw",https://www.rabota.ru/vacancy/54280695/,по договоренности
Fullstack-разработчик (Bitrix),СберСтрахование,0,0,"Москва,","Присоединяйся к команде, которая создаёт современную витрину страховых продуктов Сбер страхования! У нас ты будешь работать над актуальными решениями в сфере страхования, участвовать в интеграции с цифровыми сервисами банка и развивать AI -консультанта по страхованию на базе GigaChat . Обязанности Доработка и поддержка сайта на платформе 1C-Bitrix; Активное участие в разработке и развитии процессов автоматизации, в части развития сайта компании; Выявление слабых сторон проекта, тестирование, ана",https://www.rabota.ru/vacancy/54271900/,по договоренности
Frontend-разработчик (React),"АО ""НПФ Сбербанка""",0,0,"Москва,","Мы ищем сильного Frontend-разработчика в команду, которая занимается разработкой личного кабинета клиента компании. Это один из основных каналов  взаимодействия между компанией и клиентом, поэтому мы стремимся сделать ЛК удобным и максимально полезным с точки зрения функционала. Обязанности Написание кода в команде, работающей по методологии гибкой разработки; Проектирование и реализация клиентских приложений, включая архитектурные решения. Соблюдение правил по стилю, архитектуре и стеку; Повыше",https://www.rabota.ru/vacancy/54276549/,по договоренности
Программист,АО &quot;Аметист-Стан&quot;,0,0,"Москва,",CSS,https://www.rabota.ru/vacancy/54205184/,по договоренности
Fullstack QA Engineer,СБЕР,0,0,"Москва,","Наша команда сейчас находится в поиске тестировщика для поддержки и развития аналитической платформы для анализа клиентского поведения в мобильном и веб-приложении СберБанк Онлайн. Платформа обеспечивает онлайн обработку данных, построение на лету базовых продуктовых отчетов, крэш-аналитику, а также детальную BI-аналитику выделенных сегментов. Пользователи – внутренние клиенты Банка (владельцы продуктов, аналитики, UX-исследователи). Соискатели, имеющие опыт или желающие его приобрести в области",https://www.rabota.ru/vacancy/54275185/,по договоренности
