Date,Company,Title,Salary,Skills,Meta_Info,Link
2026-05-08T14:20:49+03:00,Not specified,Инженер по автотестированию на Java,Not specified,,Not specified,https://career.habr.com/vacancies/1000166252
2026-05-08T14:19:21+03:00,Not specified,Devops - инженер (middle/senior),Not specified,,Not specified,https://career.habr.com/vacancies/1000166251
2026-05-08T13:59:49+03:00,Not specified,QA Engineer Mobile fullstack (Java),Not specified,,Not specified,https://career.habr.com/vacancies/1000146318
2026-05-08T12:59:02+03:00,Not specified,Стажер-тестировщик,Not specified,,Not specified,https://career.habr.com/vacancies/1000155969
2026-05-08T12:56:10+03:00,Not specified,Стажер системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000161571
2026-05-08T12:54:33+03:00,Not specified,Стажер java разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000161573
2026-05-08T12:27:07+03:00,Not specified,Инженер данных (потоковая загрузка),Not specified,,Not specified,https://career.habr.com/vacancies/1000164190
2026-05-08T12:02:26+03:00,Not specified,"Разработчик Hadoop (Мск, Спб, Сочи, Нижний Новгород)",Not specified,,Not specified,https://career.habr.com/vacancies/1000166400
2026-05-08T11:48:53+03:00,Not specified,Системный разработчик С++ в команду основных компонентов,Not specified,,Not specified,https://career.habr.com/vacancies/1000164113
2026-05-08T11:44:38+03:00,Not specified,Разработчик на Java/Kotlin в Финтех Яндекса,Not specified,,Not specified,https://career.habr.com/vacancies/1000165674
2026-05-08T11:39:03+03:00,Not specified,DevOps-инженер,Not specified,,Not specified,https://career.habr.com/vacancies/1000165810
2026-05-08T11:27:10+03:00,Not specified,Руководитель проекта,Not specified,,Not specified,https://career.habr.com/vacancies/1000158253
2026-05-08T11:27:09+03:00,Not specified,QA Engineer Fullstack (Java/Kotlin),Not specified,,Not specified,https://career.habr.com/vacancies/1000163599
2026-05-08T11:27:09+03:00,Not specified,Руководитель проекта,Not specified,,Not specified,https://career.habr.com/vacancies/1000158252
2026-05-08T11:27:05+03:00,Not specified,Инженер данных,Not specified,,Not specified,https://career.habr.com/vacancies/1000165809
2026-05-08T11:27:02+03:00,Not specified,Разработчик на С++ в группу пешеходной и транспортной навигации,Not specified,,Not specified,https://career.habr.com/vacancies/1000165890
2026-05-08T11:27:02+03:00,Not specified,Team Lead PHP,Not specified,,Not specified,https://career.habr.com/vacancies/1000163355
2026-05-08T11:07:21+03:00,Not specified,1С Программист (Middle / Middle+),от 150 000 ₽,,Not specified,https://career.habr.com/vacancies/1000166399
2026-05-08T10:29:30+03:00,Not specified,Системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000156821
2026-05-08T10:27:04+03:00,Not specified,Аналитик 1С,Not specified,,Not specified,https://career.habr.com/vacancies/1000165806
2026-05-08T10:27:04+03:00,Not specified,CRM-маркетолог,Not specified,,Not specified,https://career.habr.com/vacancies/1000165805
2026-05-08T10:27:03+03:00,Not specified,BI-аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000165804
2026-05-08T10:15:51+03:00,Not specified,Технический писатель,Not specified,,Not specified,https://career.habr.com/vacancies/1000166390
2026-05-08T09:27:05+03:00,Not specified,Разработчик C++,Not specified,,Not specified,https://career.habr.com/vacancies/1000165802
2026-05-08T09:27:03+03:00,Not specified,Аналитик 1С (БП),Not specified,,Not specified,https://career.habr.com/vacancies/1000165800
2026-05-08T07:51:23+03:00,Not specified,Аналитик ИБ (SIEM),Not specified,,Not specified,https://career.habr.com/vacancies/1000165315
2026-05-08T07:25:42+03:00,Not specified,QA Engineer (Unified Communications (UC)),Not specified,,Not specified,https://career.habr.com/vacancies/1000149891
2026-05-07T22:38:45+03:00,Not specified,NLP-разработчик в Браузер,Not specified,,Not specified,https://career.habr.com/vacancies/1000166397
2026-05-07T21:11:34+03:00,Not specified,Angular-разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000166339
2026-05-07T20:05:48+03:00,Not specified,PHP-разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000166237
2026-05-07T19:23:22+03:00,Not specified,Ведущий специалист информационной безопасности в ФЦИИТ,от 222 000 ₽,,Not specified,https://career.habr.com/vacancies/1000166396
2026-05-07T19:15:17+03:00,Not specified,Android/Kotlin разработчик (частичная занятость),от 150 000 ₽,,Not specified,https://career.habr.com/vacancies/1000099903
2026-05-07T18:05:58+03:00,Not specified,Lead React,Not specified,,Not specified,https://career.habr.com/vacancies/1000166243
2026-05-07T18:04:26+03:00,Not specified,Lead Rust,Not specified,,Not specified,https://career.habr.com/vacancies/1000166242
2026-05-07T18:00:39+03:00,Not specified,Data Scientist,Not specified,,Not specified,https://career.habr.com/vacancies/1000166241
2026-05-07T17:32:18+03:00,Not specified,Системный администратор Linux,Not specified,,Not specified,https://career.habr.com/vacancies/1000161388
2026-05-07T17:32:18+03:00,Not specified,Сетевой инженер,Not specified,,Not specified,https://career.habr.com/vacancies/1000161387
2026-05-07T17:27:11+03:00,Not specified,"Менеджер по качеству (эквайринг, терминалы, ККТ, банкоматы, АДМ)",до 130 000 ₽,,Not specified,https://career.habr.com/vacancies/1000161386
2026-05-07T17:27:11+03:00,Not specified,Администратор СРК и СХД,Not specified,,Not specified,https://career.habr.com/vacancies/1000161089
2026-05-07T17:27:10+03:00,Not specified,Инженер по балансировке,Not specified,,Not specified,https://career.habr.com/vacancies/1000161385
2026-05-07T17:27:10+03:00,Not specified,Выездной инженер технической поддержки,70 000 ₽,,Not specified,https://career.habr.com/vacancies/1000161382
2026-05-07T17:27:10+03:00,Not specified,"Менеджер по качеству (эквайринг, терминалы, ККТ, банкоматы, АДМ)",до 130 000 ₽,,Not specified,https://career.habr.com/vacancies/1000157103
2026-05-07T16:59:56+03:00,Not specified,Выездной инженер технической поддержки,92 000 ₽,,Not specified,https://career.habr.com/vacancies/1000161380
2026-05-07T16:59:10+03:00,Not specified,Выездной инженер технической поддержки,от 62 000 до 65 000 ₽,,Not specified,https://career.habr.com/vacancies/1000161379
2026-05-07T16:57:03+03:00,Not specified,Выездной инженер технической поддержки,от 62 000 до 70 000 ₽,,Not specified,https://career.habr.com/vacancies/1000157114
2026-05-07T16:47:00+03:00,Not specified,Менеджер по продажам (со знанием английского языка),от 1500 $,,Not specified,https://career.habr.com/vacancies/1000166173
2026-05-07T16:34:34+03:00,Not specified,Специалист технической поддержки (первая линия),Not specified,,Not specified,https://career.habr.com/vacancies/1000157161
2026-05-07T16:27:28+03:00,Not specified,Сервисный инженер,Not specified,,Not specified,https://career.habr.com/vacancies/1000161372
2026-05-07T16:27:25+03:00,Not specified,Координатор заявок service desk,45 000 ₽,,Not specified,https://career.habr.com/vacancies/1000161368
2026-05-07T16:27:25+03:00,Not specified,Инженер технической поддержки АРМ,Not specified,,Not specified,https://career.habr.com/vacancies/1000161370
2026-05-07T16:27:25+03:00,Not specified,Системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000161371
2026-05-07T16:27:18+03:00,Not specified,Специалист техподдержки (ServiceDesk 1L),Not specified,,Not specified,https://career.habr.com/vacancies/1000161365
2026-05-07T16:27:14+03:00,Not specified,Middle/Senior Golang Developer,Not specified,,Not specified,https://career.habr.com/vacancies/1000162093
2026-05-07T16:25:53+03:00,Not specified,Ведущий операционный менеджер в сервис BareMetal,Not specified,,Not specified,https://career.habr.com/vacancies/1000166238
2026-05-07T16:07:30+03:00,Not specified,Разработчик видеотехнологий для Android,Not specified,,Not specified,https://career.habr.com/vacancies/1000166236
2026-05-07T15:57:47+03:00,Not specified,Эксперт по удаленному доступу (МСЭ),Not specified,,Not specified,https://career.habr.com/vacancies/1000161347
2026-05-07T15:51:09+03:00,Not specified,Дежурный инженер ЦОД,Not specified,,Not specified,https://career.habr.com/vacancies/1000161344
2026-05-07T15:50:38+03:00,Not specified,Системный администратор (DNS/Linux),Not specified,,Not specified,https://career.habr.com/vacancies/1000161343
2026-05-07T15:50:37+03:00,Not specified,Сетевой инженер по эксплуатации сети,Not specified,,Not specified,https://career.habr.com/vacancies/1000157006
2026-05-07T15:47:15+03:00,Not specified,Администратор СХД и SAN,Not specified,,Not specified,https://career.habr.com/vacancies/1000156870
2026-05-07T15:40:05+03:00,Not specified,Golang developer (Рассрочки),Not specified,,Not specified,https://career.habr.com/vacancies/1000164714
2026-05-07T15:35:16+03:00,Not specified,Стажер Backend-разработчик (Laravel),Not specified,,Not specified,https://career.habr.com/vacancies/1000162491
2026-05-07T15:31:59+03:00,Not specified,Руководитель группы разработки в Data center infrastructure management,Not specified,,Not specified,https://career.habr.com/vacancies/1000164103
2026-05-07T15:27:03+03:00,Not specified,Консультант по направлению анализа защищённости (Vulnerability Management),Not specified,,Not specified,https://career.habr.com/vacancies/1000164876
2026-05-07T15:27:02+03:00,Not specified,Эксперт направления оценки соответствия требованиям ИБ (compliance),Not specified,,Not specified,https://career.habr.com/vacancies/1000164875
2026-05-07T15:27:02+03:00,Not specified,Ведущий инженер по сетевой виртуализации [MWS Cloud Platform],Not specified,,Not specified,https://career.habr.com/vacancies/1000164398
2026-05-07T15:24:26+03:00,Not specified,Разработчик Ruby,от 200 000 ₽,,Not specified,https://career.habr.com/vacancies/1000166233
2026-05-07T15:23:51+03:00,Not specified,Тестировщик ПО Manual QA,от 90 000 до 120 000 ₽,,Not specified,https://career.habr.com/vacancies/1000166393
2026-05-07T15:17:44+03:00,Not specified,Разработчик интерфейсов в Видеоплеер,Not specified,,Not specified,https://career.habr.com/vacancies/1000166232
2026-05-07T15:01:31+03:00,Not specified,SEO-специалист / Middle+ / Senior SEO в Finandy,от 1000 $,,Not specified,https://career.habr.com/vacancies/1000166333
2026-05-07T14:57:12+03:00,Not specified,Системный аналитик (банковские продукты),Not specified,,Not specified,https://career.habr.com/vacancies/1000165649
2026-05-07T14:48:54+03:00,Not specified,Аналитик данных (Senior Data Analyst),Not specified,,Not specified,https://career.habr.com/vacancies/1000166230
2026-05-07T14:46:01+03:00,Not specified,Специалист по подбору персонала,Not specified,,Not specified,https://career.habr.com/vacancies/1000165792
2026-05-07T14:33:39+03:00,Not specified,Android Developer (Platform Team),Not specified,,Not specified,https://career.habr.com/vacancies/1000127243
2026-05-07T14:33:21+03:00,Not specified,Project Manager (ЦСТМ),Not specified,,Not specified,https://career.habr.com/vacancies/1000098092
2026-05-07T14:27:09+03:00,Not specified,SDET Java,Not specified,,Not specified,https://career.habr.com/vacancies/1000163567
2026-05-07T14:24:49+03:00,Not specified,Erlang/Elixir developer,Not specified,,Not specified,https://career.habr.com/vacancies/1000149993
2026-05-07T14:21:20+03:00,Not specified,Системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000166392
2026-05-07T13:40:00+03:00,Not specified,Fullstack Software Engineer,от 3000 до 4000 $,,Not specified,https://career.habr.com/vacancies/1000166382
2026-05-07T13:33:13+03:00,Not specified,Инженер аппаратной балансировки F5,Not specified,,Not specified,https://career.habr.com/vacancies/1000165879
2026-05-07T12:47:56+03:00,Not specified,ML-инженер (Направление клиентского сервиса),Not specified,,Not specified,https://career.habr.com/vacancies/1000165789
2026-05-07T12:47:46+03:00,Not specified,Специалист по межсетевым экранам,Not specified,,Not specified,https://career.habr.com/vacancies/1000164701
2026-05-07T12:38:00+03:00,Not specified,ИТ Лид команды разработки (java),Not specified,,Not specified,https://career.habr.com/vacancies/1000161071
2026-05-07T11:56:13+03:00,Not specified,Python-разработчик в ML,Not specified,,Not specified,https://career.habr.com/vacancies/1000165851
2026-05-07T11:52:35+03:00,Not specified,DevOps-инженер,от 150 000 ₽,,Not specified,https://career.habr.com/vacancies/1000165765
2026-05-07T11:49:46+03:00,Not specified,QA инженер (Linux),Not specified,,Not specified,https://career.habr.com/vacancies/1000153848
2026-05-07T11:49:09+03:00,Not specified,Технический руководитель/Technical Lead(государственная информационная система),до 400 000 ₽,,Not specified,https://career.habr.com/vacancies/1000161326
2026-05-07T11:39:48+03:00,Not specified,Технический архитектор 1с,от 400 000 ₽,,Not specified,https://career.habr.com/vacancies/1000166064
2026-05-07T11:34:57+03:00,Not specified,Руководитель проектов ИБ,Not specified,,Not specified,https://career.habr.com/vacancies/1000161325
2026-05-07T11:27:06+03:00,Not specified,Data Engineer,Not specified,,Not specified,https://career.habr.com/vacancies/1000164179
2026-05-07T11:26:34+03:00,Not specified,Менеджер по продажам услуги ИТ-аутстаф (поиск+развитие клиентов),от 150 000 ₽,,Not specified,https://career.habr.com/vacancies/1000166389
2026-05-07T11:19:48+03:00,Not specified,Системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000166388
2026-05-07T11:08:09+03:00,Not specified,Архитектор по облачным решениям цифровых сервисов,Not specified,,Not specified,https://career.habr.com/vacancies/1000166329
2026-05-07T10:58:32+03:00,Not specified,Senior Python Developer,Not specified,,Not specified,https://career.habr.com/vacancies/1000166009
